Date,"Police officers per 100,000 population",Weighted clearance rate,Vancouver Unemployment Rate
2009-08-01,234.4,27.62,8
2009-09-01,234.4,27.62,6.8
2009-10-01,234.4,27.62,7.9
2009-11-01,234.4,27.62,7.8
2009-12-01,234.4,27.62,7.8
2010-01-01,229.5,29.13,8
2010-02-01,229.5,29.13,7.5
2010-03-01,229.5,29.13,7.7
2010-04-01,229.5,29.13,7.5
2010-05-01,229.5,29.13,7.6
2010-06-01,229.5,29.13,7.8
2010-07-01,229.5,29.13,7.2
2010-08-01,229.5,29.13,7.9
2010-09-01,229.5,29.13,7.4
2010-10-01,229.5,29.13,7.2
2010-11-01,229.5,29.13,6.3
2010-12-01,229.5,29.13,7.2
2011-01-01,220.7,30.74,7.4
2011-02-01,220.7,30.74,9.2
2011-03-01,220.7,30.74,7.8
2011-04-01,220.7,30.74,7.9
2011-05-01,220.7,30.74,7
2011-06-01,220.7,30.74,6.9
2011-07-01,220.7,30.74,7.3
2011-08-01,220.7,30.74,7.8
2011-09-01,220.7,30.74,6.4
2011-10-01,220.7,30.74,6.6
2011-11-01,220.7,30.74,7.1
2011-12-01,220.7,30.74,7.2
2012-01-01,213.6,30.25,6.8
2012-02-01,213.6,30.25,6.7
2012-03-01,213.6,30.25,6.5
2012-04-01,213.6,30.25,6
2012-05-01,213.6,30.25,7.2
2012-06-01,213.6,30.25,6.8
2012-07-01,213.6,30.25,6.8
2012-08-01,213.6,30.25,6.9
2012-09-01,213.6,30.25,7
2012-10-01,213.6,30.25,7.1
2012-11-01,213.6,30.25,7
2012-12-01,213.6,30.25,6.5
2013-01-01,218.6,30.85,7
2013-02-01,218.6,30.85,6.5
2013-03-01,218.6,30.85,7.3
2013-04-01,218.6,30.85,6.8
2013-05-01,218.6,30.85,5.8
2013-06-01,218.6,30.85,6.6
2013-07-01,218.6,30.85,7.1
2013-08-01,218.6,30.85,6.9
2013-09-01,218.6,30.85,6.6
2013-10-01,218.6,30.85,6.2
2013-11-01,218.6,30.85,6.5
2013-12-01,218.6,30.85,6.4
2014-01-01,199.1,27.1,5.8
2014-02-01,199.1,27.1,6.2
2014-03-01,199.1,27.1,5.7
2014-04-01,199.1,27.1,5.4
2014-05-01,199.1,27.1,5.8
2014-06-01,199.1,27.1,5.8
2014-07-01,199.1,27.1,5.7
2014-08-01,199.1,27.1,6.3
2014-09-01,199.1,27.1,6.3
2014-10-01,199.1,27.1,6.3
2014-11-01,199.1,27.1,5.9
2014-12-01,199.1,27.1,5.8
2015-01-01,193.8,24.88,6
2015-02-01,193.8,24.88,5.9
2015-03-01,193.8,24.88,5.5
2015-04-01,193.8,24.88,6.3
2015-05-01,193.8,24.88,6.3
2015-06-01,193.8,24.88,5.8
2015-07-01,193.8,24.88,5.6
2015-08-01,193.8,24.88,5.9
2015-09-01,193.8,24.88,6.5
2015-10-01,193.8,24.88,5.9
2015-11-01,193.8,24.88,5.3
2015-12-01,193.8,24.88,6.1
2016-01-01,194,23.63,6
2016-02-01,194,23.63,6.5
2016-03-01,194,23.63,6.3
2016-04-01,194,23.63,5
2016-05-01,194,23.63,5.2
2016-06-01,194,23.63,5.5
2016-07-01,194,23.63,5.1
2016-08-01,194,23.63,4.7
2016-09-01,194,23.63,5
2016-10-01,194,23.63,5.4
2016-11-01,194,23.63,5.3
2016-12-01,194,23.63,4.8
2017-01-01,194.4,27.09,4.7
2017-02-01,194.4,27.09,4.5
2017-03-01,194.4,27.09,4.9
2017-04-01,194.4,27.09,5.3
2017-05-01,194.4,27.09,5.5
2017-06-01,194.4,27.09,4.6
2017-07-01,194.4,27.09,4.9
2017-08-01,194.4,27.09,4.2
2017-09-01,194.4,27.09,4.4
2017-10-01,194.4,27.09,4.1
2017-11-01,194.4,27.09,4.4
2017-12-01,194.4,27.09,3.9
2018-01-01,195.3,25.2,3.8
2018-02-01,195.3,25.2,4
2018-03-01,195.3,25.2,4.1
2018-04-01,195.3,25.2,4.6
2018-05-01,195.3,25.2,4
2018-06-01,195.3,25.2,4.7
2018-07-01,195.3,25.2,4.9
2018-08-01,195.3,25.2,4.6
2018-09-01,195.3,25.2,4
2018-10-01,195.3,25.2,4.2
2018-11-01,195.3,25.2,4.4
2018-12-01,195.3,25.2,4.8
2019-01-01,191.5,25.33,5.1
2019-02-01,191.5,25.33,4.7
2019-03-01,191.5,25.33,4.5
2019-04-01,191.5,25.33,4.1
2019-05-01,191.5,25.33,4
2019-06-01,191.5,25.33,4.2
2019-07-01,191.5,25.33,4.1
2019-08-01,191.5,25.33,5.2
2019-09-01,191.5,25.33,4.9
2019-10-01,191.5,25.33,4.9
2019-11-01,191.5,25.33,4.9
2019-12-01,191.5,25.33,4.6
2020-01-01,191.5,25.33,4
2020-02-01,191.5,25.33,4.6
2020-03-01,191.5,25.33,7.5
2020-04-01,191.5,25.33,10.8
2020-05-01,191.5,25.33,14.1
2020-06-01,191.5,25.33,14.2
2020-07-01,191.5,25.33,11.6
2020-08-01,191.5,25.33,12.4
2020-09-01,191.5,25.33,9.1
2020-10-01,191.5,25.33,7.7
2020-11-01,191.5,25.33,7.4
2020-12-01,191.5,25.33,7
2021-01-01,189.9,27.3,7
2021-02-01,189.9,27.3,7
2021-03-01,189.9,27.3,7
2021-04-01,189.9,27.3,7
2021-05-01,189.9,27.3,7
2021-06-01,189.9,27.3,7
2021-07-01,189.9,27.3,7
2021-08-01,189.9,27.3,7
2021-09-01,189.9,27.3,7
2021-10-01,189.9,27.3,7
2021-11-01,189.9,27.3,7
2021-12-01,189.9,27.3,7
2022-01-01,183.8,24.53,7
2022-02-01,183.8,24.53,7
2022-03-01,183.8,24.53,7
2022-04-01,183.8,24.53,7
2022-05-01,183.8,24.53,7
2022-06-01,183.8,24.53,7
2022-07-01,183.8,24.53,7
2022-08-01,183.8,24.53,7
2022-09-01,183.8,24.53,7
2022-10-01,183.8,24.53,7
2022-11-01,183.8,24.53,7
2022-12-01,183.8,24.53,7
2023-01-01,184.1,24.53,7
2023-02-01,184.1,24.53,7
2023-03-01,184.1,24.53,7
2023-04-01,184.1,24.53,7
2023-05-01,184.1,24.53,7
2023-06-01,184.1,24.53,7
2023-07-01,184.1,24.53,7
2023-08-01,184.1,24.53,7
2023-09-01,184.1,24.53,7
2023-10-01,184.1,24.53,7
2023-11-01,184.1,24.53,7
2023-12-01,184.1,24.53,7
2024-01-01,184.1,24.53,7
2024-02-01,184.1,24.53,7
2024-03-01,184.1,24.53,7
2024-04-01,184.1,24.53,7
2024-05-01,184.1,24.53,7
2024-06-01,184.1,24.53,7
2024-07-01,184.1,24.53,7
2024-08-01,184.1,24.53,7
2024-09-01,184.1,24.53,7
